item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml,image_url
89221,Del Maguey Mezcal Vida,1022300.0,19.48,29.22,750,https://shop.iowaabd.com/images/product-small/89221-1.jpg
45245,Paramount Gold Rum PET,1062100.0,4.0,6.0,750,https://shop.iowaabd.com/images/product-small/45245-1.jpg
903771,SOOH Fighting Cock Bourbon,1901200.0,8.96,13.44,750,https://shop.iowaabd.com/images/product-small/903771.jpg
86781,Ole Smoky Moonshine Peaches,1091300.0,12.5,18.75,750,https://shop.iowaabd.com/images/product-small/86781-1.jpg
926958,Old Overholt Bonded,1011600.0,13.5,20.25,750,https://shop.iowaabd.com/images/product-small/027066-1.jpg
902115,SOOH Famous Grouse Scotch,1901200.0,20.05,30.08,1750,https://shop.iowaabd.com/images/product-small/902115-1.png
903089,SOOH Gran Centenario Anejo,1901200.0,30.64,45.96,750,https://shop.iowaabd.com/images/product-small/903089-1.png
903353,Pravda Vodka,1901200.0,16.39,24.59,750,https://shop.iowaabd.com/images/product-small/41500-1.png
66636,Romana Sambuca Italian Liquore,1082100.0,13.5,20.25,750,https://shop.iowaabd.com/images/product-small/066636-1.jpg
902613,Barbancourt 3* Rhum 4YR,1901200.0,11.66,17.49,750,https://shop.iowaabd.com/images/product-small/942396-1.jpg
86250,Juarez Triple Sec,1081500.0,2.67,4.01,750,https://shop.iowaabd.com/images/product-small/086250-1.jpg
72434,Big Peach Liqueur,1081000.0,9.09,13.64,375,https://shop.iowaabd.com/images/product-small/72434-1.jpg
902256,SOOH Mellow Corn Whiskey,1901200.0,7.92,11.88,750,https://shop.iowaabd.com/images/product-small/902256-1.jpg
17658,Double Barrel Bourbon,1700000.0,15.0,22.5,375,https://shop.iowaabd.com/images/product-small/17658-1.png
27066,Old Overholt Rye,1011600.0,11.54,17.31,750,https://shop.iowaabd.com/images/product-small/027066-1.jpg
27189,Basil Hayden Dark Rye,1011600.0,23.62,35.43,750,https://shop.iowaabd.com/images/product-small/27189-1.png
984160,99 Apples Mini,1901200.0,5.95,8.93,600,https://shop.iowaabd.com/images/product-small/image-not-available2.jpg
974831,Special Order Iowa Legendary Rye Red Label,1091100.0,24.5,36.75,750,https://shop.iowaabd.com/images/product-small/74831-1-3.jpg
43112,Bacardi Black,1062300.0,15.0,22.5,1750,https://shop.iowaabd.com/images/product-small/43109-1.jpg
41848,Everclear 151,1091200.0,17.5,26.25,1750,https://shop.iowaabd.com/images/product-small/41846-1.jpg
5360,John Barr Reserve,1012300.0,21.93,32.9,1750,https://shop.iowaabd.com/images/product-small/5360-1.jpg
43799,Appleton Estate Signature Blend,1062300.0,15.0,22.5,1750,https://shop.iowaabd.com/images/product-small/43799-1.jpg
46109,Calypso Gold Rum,1062100.0,9.0,13.5,1750,https://shop.iowaabd.com/images/product-small/46109-1.jpg
903881,SOOH Phillips Root Beer Schnapps,1901200.0,9.27,13.91,1750,https://shop.iowaabd.com/images/product-small/903881-1.jpg
902291,SOOH Bartenders Bananas Over You,1901200.0,9.31,13.97,1750,https://shop.iowaabd.com/images/product-small/902291.jpg
5038,Glenlivet 12YR,1012300.0,43.47,65.21,1750,https://shop.iowaabd.com/images/product-small/5036-1.jpg
43040,Bacardi Gold PET,1062100.0,15.0,22.5,1750,https://shop.iowaabd.com/images/product-small/043035.jpg
26859,Templeton 4YR Rye,1011600.0,24.66,36.99,1750,https://shop.iowaabd.com/images/product-small/27102-1.jpg
904529,Tanqueray Rangpur,1901200.0,25.0,37.5,1750,https://shop.iowaabd.com/images/product-small/028890.jpg
902840,SOOH Hiram Walker Peppermint Schnapps 60prf,1901200.0,8.6,12.9,1750,https://shop.iowaabd.com/images/product-small/902840-1.png
40055,Deep Eddy Lemon,1700000.0,14.5,21.75,1750,https://shop.iowaabd.com/images/product-small/40055-1.jpg
903776,Don Q Cristal,1901200.0,10.84,16.26,1750,https://shop.iowaabd.com/images/product-small/43426-1.jpg
902115,Famous Grouse Scotch,1901200.0,20.05,30.08,1750,https://shop.iowaabd.com/images/product-small/4936-1.jpg
27037,George Dickel Rye,1011600.0,13.5,20.25,750,https://shop.iowaabd.com/images/product-small/027037.jpg
935961,SOOH Pearl Red Berry,1031000.0,7.0,10.5,750,https://shop.iowaabd.com/images/product-small/935961-1.jpg
4825,Dalmore 12YR,1012300.0,35.0,52.5,750,https://shop.iowaabd.com/images/product-small/4825-1.jpg
67556,Kamora Coffee Liqueur,1081100.0,6.47,9.71,750,https://shop.iowaabd.com/images/product-small/067556.jpg
67595,Patron XO Cafe,1081100.0,14.0,21.0,750,https://shop.iowaabd.com/images/product-small/067595.jpg
