item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
26667,Rabbit Hole Boxergrail Straight Rye Whiskey,1011600,24.98,37.47,750
88579,SE BUSCA JOVEN,1022300,19.99,29.99,750
5286,Isle of Jura 10YR,1012300,20.0,30.0,750
43621,Myers's Original Dark Rum,1062300,9.5,14.25,750
89820,Scorpion Mezcal Anejo 5 yr,1092100,95.5,143.25,750
4367,Balvenie 14YR Caribbean Cask,1012300,42.5,63.75,750
4636,Bowmore Scotch 12YR,1012300,34.5,51.75,750
5040,Glenlivet 18YR,1012300,64.96,97.44,750
22199,Wild Turkey Rare Breed,1011500,25.0,37.5,750
17766,Eagle Rare,1011300,17.16,25.74,750
4611,Dalmore Port Wood Reserve,1012300,50.0,75.0,750
905426,SOOH Lagavulin Distillers Edition,1012300,59.99,89.99,750
24890,Des Moines Strong,1700000,27.75,41.63,750
4636,Bowmore Scotch 12YR,1012300,27.5,41.25,750
15991,Sierra Norte Whiskey Black Corn,1092100,29.17,43.76,750
46127,Cedar Ridge Lost Pirate Port Finish Rum,1062300,23.0,34.5,750
5885,Glen Moray Cabernet,1012300,17.84,26.76,750
86785,Ole Smoky Apple Pie Moonshine 70prf,1091300,12.5,18.75,750
88578,Scorpion Mezcal Joven,1092100,22.66,33.99,750
27677,Cody Road Single Barrel,1011300,25.0,37.5,750
5700,Macallan Double Cask Gold,1012300,34.0,51.0,750
926697,HA WhistlePig FarmStock 3,1011600,36.5,54.75,750
904940,HA Aberlour 18YR,1012300,64.96,97.44,750
43775,Mt Gay Black Barrel,1062100,22.48,33.72,750
77052,Hog Wild Cinnamon,1091100,12.0,18.0,750
903760,HA Weller 12YR,1901200,21.5,32.25,750
4096,Ardbeg 10YR Islay,1012300,27.49,41.24,750
26739,Sir Winston White Whiskey,1011700,25.54,38.31,750
5040,Glenlivet 18YR,1012300,59.97,89.96,750
5103,Glenmorangie Lasanta,1012300,24.99,37.49,750
5104,Glenmorangie Nectar D'or,1012300,34.99,52.49,750
902243,SOOH Benedictine Liqueur Dom,1901200,19.5,29.25,750
89754,Scorpion Mezcal Anejo 1yr,1092100,28.41,42.62,750
26781,Templeton Rye Rare Cask Strength,1011600,29.99,44.99,750
27100,Sazerac Rye,1011600,16.94,25.41,750
27476,Cedar Ridge Single Malt Whiskey,1012300,25.0,37.5,750
927461,SOOH Breckenridge Bourbon,1901200,28.5,42.75,750
933748,SOOH Beluga Noble Vodka,1901200,18.66,27.99,750
16466,1792 Bottle in Bond Bourbon,1700000,20.0,30.0,750
26815,Green Frog Distillery Caramel Flavored Corn Whiskey,1011700,15.0,22.5,750
76075,Midnight Moon Dill Pickles,1091300,11.5,17.25,750
44551,Cruzan Hurricane Proof,1062300,10.0,15.0,750
64816,Romana Black Sambuca,1082100,13.57,20.36,750
88511,Banhez Mezcal,1022300,17.99,26.99,750
15320,WhistlePig Straight Rye Whiskey 15YR,1011600,125.0,187.5,750
15187,WhistlePig 6 Year PiggyBack,1011600,25.0,37.5,750
464,Glenmorangie Pioneer Pack VAP Upgrade,1012300,19.99,29.99,750
4184,Ardbeg An Oa,1012300,29.99,44.99,750
17920,Elijah Craig 18YR,1011300,64.17,96.26,750
903880,SOOH Luksusowa Potato Vodka,1901200,7.46,11.19,750
904715,SOOH Zubrowka Bison Grass Vodka,1901200,12.97,19.46,750
74831,Iowa Legendary Rye Red Label,1091100,35.0,52.5,750
76038,Midnight Moon Cherry,1091300,11.5,17.25,750
906197,SOOH Talisker Distillers Edition,1012300,49.99,74.99,750
26546,Obtainium Kentucky Why,1011700,19.5,29.25,750
27145,WhistlePig Old World 12YR,1011600,64.17,96.26,750
5924,GLENLIVET CARIBBEAN RESERVE,1012300,17.49,26.24,750
5430,Lagavulin 16YR,1012300,50.0,75.0,750
74829,Iowa Legendary Rye Black Label,1091100,24.0,36.0,750
44266,British Navy Pussers Rum,1062300,12.5,18.75,750
980023,HA Buffalo Trace Bourbon Cream,1901200,10.4,15.6,750
922046,HA Weller Single Barrel Bourbon,1011300,37.5,56.25,750
5669,Glen Moray Sherry Cask,1012300,17.84,26.76,750
43636,Diplomatico Mantuano,1062100,13.5,20.25,750
21589,EH Taylor Jr SIngle Barrel,1700000,33.34,50.01,750
24574,Little Book Chapter 4 Lessons Honored,1700000,62.5,93.75,750
18120,Evan Williams Single Barrel,1011300,15.49,23.24,750
910992,HA Wild Turkey Masters Keep BIB 17YR,1011500,100.0,150.0,750
927156,HA Hudson Maple Cask,1011600,27.5,41.25,750
101104,Bulliet Bourbon with 2 Ceramic Mugs,1700000,16.5,24.75,750
5061,Glenlivet 15YR French Oak,1012300,34.98,52.47,750
17186,Calumet Farm 14 Year Old Bourbon,1011500,59.65,89.48,750
964098,SOOH Agavero Orange Tequila Liqueur,1901200,11.0,16.5,750
42149,Dehner Distillery 151,1091200,7.49,11.24,750
4241,Ardbeg Blaaack - Committee Release,1012300,69.99,104.99,750
4846,Dalwhinnie 15YR Single Malt Scotch,1012300,45.99,68.99,750
42666,Mt Gay Eclipse Rum,1062100,10.48,15.72,750
16048,Sierra Norte Whiskey Purple Corn,1092100,30.0,45.0,750
15993,Sierra Norte Whiskey White Corn,1092100,25.0,37.5,750
26495,Basil Hayden''s 10 Year Rye,1011600,35.0,52.5,750
5745,Glenfiddich Fire & Cane,1012300,30.0,45.0,750
22178,Russells Reserve Single Barrel Bourbon,1011300,31.0,46.5,750
4246,Ardbeg Wee Beastie,1012300,22.49,33.74,750
77050,Field Fire,1091100,12.0,18.0,750
4356,Balvenie 12YR Doublewood,1012300,35.0,52.5,750
904781,SOOH Mothers Schnapps Cherry,1901200,4.5,6.75,750
4357,Balvenie 17YR Doublewood,1012300,83.0,124.5,750
922172,HA Wild Turkey Rare Breed Rye Barrel Proof,1011600,30.0,45.0,750
19498,Maker''s Mark 101,1700000,19.0,28.5,750
74836,Iowa Legendary Rye White Label,1091100,10.0,22.5,750
904514,SOOH Russian Standard Imperia Vodka,1901200,20.0,30.0,750
27138,Cody Road Single Barrel Rye,1011600,25.0,37.5,750
5696,Oban Single Malt Scotch,1012300,40.0,60.0,750
43775,Mt Gay Black Barrel,1062100,19.48,29.22,750
43722,The Real McCoy Single Blended Rum Aged 12 Years,1062100,27.3,40.95,750
4367,Balvenie 14YR Caribbean Cask,1012300,44.0,66.0,750
904222,HA Aultmore 21YR Single Malt,1012300,125.0,187.5,750
904811,HA Craigellachie 17YR Single Malt,1012300,79.99,119.99,750
43735,Bumbu XO,1062300,21.49,32.24,750
35863,Clix Vodka,1700000,155.99,233.99,750
926567,HA Jack Daniels Single Barrel Eric Church,1011300,29.98,44.97,750
17531,Copper Cross Single Barrel Straight Bourbon,1011600,15.0,22.5,750
46112,Cedar Ridge Dark Rum,1062300,17.5,26.25,750
76032,Midnight Moon Original,1091200,11.5,17.25,750
43894,Tiki Lovers Dark Rum,1062300,12.5,18.75,750
100978,Bushmills Whiskey 750ml w/ Irish Coffee Glass,1700000,13.99,20.99,750
27051,James E. Pepper 1776 Straight Rye Whiskey ''100 Proof'',1011600,16.33,24.5,750
87057,Kamiki Sakura Whisky,1092100,44.84,67.26,750
74836,Iowa Legendary Rye White Label,1091100,10.0,15.0,750
995892,HA Bruichladdich Octomore 10.1,1012300,94.99,142.49,750
65151,Il Tramonto Amaretto,1082100,10.5,15.75,750
26463,Templeton Caribbean Rum Barrel Finish Rye Whiskey,1011600,22.5,33.75,750
994554,HA Bruichladdich Black Art 7,1012300,214.88,322.32,750
74829,Iowa Legendary Rye Black Label,1091100,19.5,36.0,750
4810,Craigellachie 13YR Single Malt,1700000,27.49,41.24,750
994785,SOOH Cragganmore Distillers Edition,1012300,42.49,63.74,750
927114,HA Pikesville Rye 110prf,1011600,25.0,37.5,750
904810,HA Craigellachie 13YR Single Malt,1012300,27.49,41.24,750
904800,SOOH Pyrat XO Reserve,1901200,13.09,19.64,750
18661,Hudson Baby Bourbon,1011700,25.06,37.59,750
43633,Bacardi Gran Reserva Diez,1062100,19.99,29.99,750
41844,Everclear Alcohol,1091200,4.2,6.3,375
904844,Cynar 33prf,1901200,14.5,21.75,1000
86487,Mr Boston Triple Sec,1081500,2.13,3.2,1000
903533,Hiram Walker Black Raspberry,1901200,4.5,6.75,1000
916086,Early Times Bottled in Bond,1011500,12.5,18.75,1000
903184,Inver House Scotch,1901200,6.73,10.1,1000
902424,Wiser's Deluxe Canadian,1901200,10.59,15.89,1000
