store_number,store_name,store_location,address,city
4411,KUM & GO #95 / DE SOTO,POINT (-94.012641 41.538192),1203 Guthrie St,De Soto
5522,Casey's General Store #3653 / Greene,POINT (-92.812326 42.890772),209 W South St,Greene
5994,Sauce / Iowa City,POINT (-91.533522 41.658979),108 E. College St,Iowa City
5484,Casey's General Store #3610 / Cedar Falls,,1225 Fountains Way,Cedar Falls
4777,Casey's General Store #3730 / Paullina,POINT (-95.684828 42.982332),222 North Clark Street,Paullina
5564,Casey's General Store #2785 / Ankeny,POINT (-93.621965 41.731846),1602 W 1st St,Ankeny
4828,Casey's General Store #3228 / Marshalltown,POINT (-92.89647300000001 42.049238),916 E Main St,Marshalltown
5549,Casey's General Store #2515 / Dayton,POINT (-94.072459 42.264998),307 3rd ST NW,Dayton
2685,Hy-Vee -Garner,POINT (-93.598203 43.105778),255 West US HWY 18,Garner
4590,Casey's General Store #3045 / Cedar Falls,POINT (-92.445512 42.532963),"601, Main St",Cedar Falls
4679,Walgreens #12393 / Cedar Rapids,POINT (-91.638516 42.035993000000005),5750 C Ave NE,Cedar Rapids
4838,Casey's General Store #2448 / Ogden,POINT (-94.028392 42.03201),"102, W Veterans Dr",Ogden
4507,Casey's General Store #2902 / Spencer,POINT (-95.150966 43.155628),411 W 18th,Spencer
4532,Casey's General Store #2274 / Sioux Rapids,POINT (-95.152943 42.88744),720 Hwy 71,Sioux Rapids
5170,Casey's General Store #1414  / State,POINT (-93.165186 42.009066),911 3rd  Ave SW,State Center
5182,Kwik Shop #595  /  W Broadway,POINT (-95.870133 41.261858),1749 W Broadway,Council Bluffs
5148,Main St Market  /  Holy Cross,POINT (-90.995943 42.600941),"882, Main St",Holy Cross
5613,Casey's General Store #2624 / Manchester,POINT (-91.45793 42.502602),1413 N Franklin St,Manchester
5551,Casey's General Store #2769 / Williamsburg,POINT (-92.009121 41.689477),130 W Evans St,Williamsburg
4720,Chariton BP,POINT (-93.293312 41.005258),"107, East Grace",Chariton
5658,Casey's General Store #3717 / Vinton,POINT (-92.03711 42.167846),1112 W 4th St,Vinton
4796,Walgreens #04714 / Des Moines,POINT (-93.64494100000002 41.542957),4555 Fleur Dr,Des Moines
5571,Casey's General Store #2782 / Cedar Rapids,POINT (-91.657883 42.035276),1495 Blairs Ferry Rd NE,Cedar Rapids
5039,Casey's General Store #3384 / Solon,POINT (-91.490658 41.797464),1200 S Market St,Solon
5295,Yesway Store # 10023/ Waterloo,POINT (-92.355753 42.457847),117 San Marnan Dr E,Waterloo
5283,Yesway Store # 10026/ Mason City,POINT (-93.221539 43.14833900000001),1303 4th St SW,Mason City
5407,Casey's General Store # 2528/ Williamsburg,POINT (-92.007463 41.660159),602 S Highland,Williamsburg
5608,Casey's General Store #2634 / Edgewood,POINT (-91.402761 42.644438),200 W Union St,Edgewood
5371,State Food Mart,POINT (-90.482018 41.528972),3715 State St.,Bettendorf
5697,Casey's #3770 - Glenwood,POINT (-95.744501 41.040507),601 S Locust Street,Glenwood
4521,Casey's General Store #1002 / Grand Junction,POINT (-94.232024 42.035781),504 16th St N,Grand Junction
4652,Brady Mart Food & Liquor,POINT (-90.569719 41.55216),"3107, Brady St",Davenport
6040,Hometown Foods / Traer,POINT (-92.468086 42.193386),420 Second St,Traer
5667,Stanwood Food Mart LLC,POINT (-91.148607 41.888461),1118 HWY 30,Stanwood
5393,Casey's General Store # 1799/ Osage,POINT (-92.817696 43.28407),309 Main St.,Osage
5217,Casey's General Store #1511 / Seymou,POINT (-93.121487 40.681485),500 W Main St,Seymour
5909,EZ Stop 1 / Dubuque,POINT (-90.660269 42.519502),1101 Rhomberg Ave,Dubuque
4688,Walgreens #10770 / Carroll,POINT (-94.86677300000001 42.065531),105 E 6th St,Carroll
5919,Casey's General Store #2584  / Ossian,POINT (-91.767672 43.146669),200 W Main St,Ossian
5271,McElroy's Food Market,POINT (-92.53666400000002 42.951717),"135, Madison Street",Winthrop
5803,Casey's General Store #3333 / Pleasant Hill,POINT (-93.504131 41.599179),5550 E University Ave,Pleasant Hill
5064,Casey's General Store #2777 / Fairfa,POINT (-91.779035 41.929161),"65, Williams Blvd",Fairfax
4575,Casey's General Store #2304 / Slater,POINT (-93.679808 41.877859),200 6th Ave,Slater
4937,ROCSTOP,POINT (-95.38464 40.765869),1310 W Sheridan Ave,Shenandoah
5519,Casey's General Store #3648 / Akron,POINT (-96.56323 42.823106),80 South St,Akron
4657,Casey's General Store #2526 / Wellsburg,POINT (-92.925287 42.43855),308 N Washington,Wellsburg
3808,Thriftway,POINT (-92.190813 42.316243),300  4th St,La Porte City
5550,Casey's General Store #2764 / Hiawatha,POINT (-91.68187600000002 42.046265),780 N Center Point Rd,Hiawatha
4659,Casey's General Store #2802 / Conrad,POINT (-92.86887400000002 42.22453600000001),409 E Center,Conrad
5006,Kwik Stop 16th Street #325,POINT (-90.65613000000002 42.511655),1210 E 16th St,Dubuque
4774,Casey's General Store #3034 / Estherville,POINT (-94.822033 43.402229),"1615, Central Ave",Estherville
5356,Casey's General Store # 3561/ Cedar Rapids,POINT (-91.682151 41.988646),1532 Ellis Blvd NW,Cedar Rapids
5099,Casey's General Store #2164 / Ankeny,POINT (-93.600261 41.760386),3505 N  Ankeny Blvd,Ankeny
5825,Casey's General Store #2019 / West Burlington,POINT (-91.150614 40.825977),501 E Mt Pleasant St,West Burlington
5563,Casey's General Store #3082 / Carroll,POINT (-94.873524 42.067854),510 E Hwy 30,Carroll
5725,Express Lane Gas & Food Mart #79,POINT (-90.42819900000002 41.567667),17948 Great River Rd,Pleasant Valley
5588,Casey's General Store #2533 / Marengo,POINT (-92.073619 41.789557),2157 Hwy 6 Trail,Marengo
4552,Casey's General Store #2493 / Buffalo,,222 W Front St,Buffalo
5491,Ackley Superfoods,POINT (-93.055216 42.554159),526 Main St,Ackley
5695,Flashmart  #105,POINT (-93.879991 42.058784),315 Story Street,Boone
5872,The Snack Shack / Waterloo,POINT (-92.306998 42.453042),4335 Texas St,Waterloo
4542,Casey's General Store #2994 / Lauren,POINT (-94.855561 42.846771),520 W Main St,Laurens
3652,Discount Liquors Of Ida Grove,POINT (-94.876368 42.063517),604 W 2nd,Ida Grove
5607,Casey's General Store #3294 / Urbana,POINT (-91.890859 42.246496),5350 31st Ave,Urbana
4396,"Trunck's Country Foods, INC.",POINT (-92.601293 42.325703),606 Grundy Ave,Reinbeck
5459,Casey's General Store #1653 / Corning,,204 6th St,Corning
6022,Terry's Food Center / Dysart,POINT (-92.30769 42.171406),305 Crisman St,Dysart
5814,Eichman Enterprises Inc / Sageville,,11941 Hwy 52 N,SAGEVILLE
5691,Logan Ave Convenience Store / Waterloo,POINT (-92.337744 42.510453),735 Logan Ave,Waterloo
5410,Umiya Foodmart Inc,POINT (-93.843364 41.209914),318 E North St.,Truro
5665,New Star / Fort Dodge,POINT (-94.170859 42.501169),1923 5th Ave S,Fort Dodge
5529,Big 10 Mart,,2100 JFK Rd,Dubuque
4880,Casey's General Store #1567 / Anita,POINT (-94.767946 41.44353000000001),912 Main St,Anita
4596,Quik Trip #534 / E University DM,POINT (-93.558972 41.600468),2945 E University,Des Moines
4461,QUIK TRIP #503 / WINDSOR HEIGHTS,POINT (-93.717442 41.614647),7220 Hickman Rd,Windsor Heights
5855,Taylor Quik Pik - Harlan,POINT (-95.339634 41.647276),2111 23rd Street,Harlan
5246,Casey's General Store #3476 / Forest,POINT (-93.6372 43.249459),1132 HWY  69 SOUTH,Forest City
4501,Kum & Go #134 / Fairfield,POINT (-91.981752 41.006447),1601 W Burlington Ave,Fairfield
5813,Casey's General Store #2791 / Cedar Rapids,POINT (-91.679307 41.8913),9125 Atlantic Dr SW,Cedar Rapids
5747,Casey's General Store #3201 / Council Bluffs,POINT (-95.853277 41.228221),701 32nd Ave,Council Bluffs
5802,Casey's General Store #3718 / Pleasant Hill,POINT (-93.455007 41.599812),1175 NE 75th St,Pleasant Hill
4837,Kum & Go #51 / Iowa City,POINT (-91.530633 41.657837),323 E Burlington St,Iowa City
4584,J & C Grocery / Dumont,POINT (-92.973022 42.750551),611 Main St,Dumont
3907,Smokin' Joe's #16 Tobacco and Liquor Outlet,,1504 Park Ave,Muscatine
5202,Casey's General Store #2900 / Gilber,POINT (-92.218712 42.424125),"115, 25th  Ave",Gilbertville
5838,Casey's General Store #2306 / Nevada,POINT (-93.444129 42.022739),1136 Lincoln Hwy,Nevada
6004,Casey's General Store #2659 / Columbus Junction,POINT (-91.356566 41.278957),201 E Access Rd,Columbus Junction
5981,Casey's General Store #3244 / Urbandale,POINT (-93.771388 41.628674),3750 111th St,Urbandale
5899,Fort Dodge Smoke Shop,POINT (-94.170859 42.501169),1923 5th Ave S,Fort Dodge
4793,Fort Madison Fast Break,POINT (-91.377416 40.624074),5002 Avenue O,Fort Madison
4364,Kum & Go #22 / Grinnell,POINT (-92.726361 41.699795),715 Lang Creek Ave,Grinnell
5967,Casey's General Store #1728 / Red Oak,POINT (-95.23272 41.016443),1310 N. Broadway St,Red Oak
5042,Super Stop III / Dubuque,POINT (-90.660269 42.519502),1101 Rhomberg Ave,Dubuque
5927,goPuff / Ames,POINT (-93.581305 42.016041),615 S Dayton Ave,Ames
6003,Casey's General Store #2298 / Ames,POINT (-93.616585 42.022916),428 Lincoln Way,Ames
5483,Tiger Mart,POINT (-95.139163 41.234727),708 Main,Griswold
5897,Tobacco Hut / Urbandale,POINT (-93.706996 41.629398),6535  Douglas Ave,Urbandale
5923,Casey's General Store #2694 / Pella,POINT (-92.95142 41.410387),2421 Washington St,Pella
5273,Casey's General Store # 2598/ Pella,,414 Clark Street,Pella
5569,Casey's General Store #2765 / Cedar Rapids,POINT (-91.631682 42.02846),5050 Northland Ave NE,Cedar Rapids
4468,CIRCLE K #4706600 / MUSCATINE,POINT (-91.041149 41.431606),802 Cypress St,Muscatine
5059,Casey's General Store #1125 / Humest,POINT (-93.499475 40.860016),207 Front St,Humeston
4533,Casey's General Store #1985 / St. Ansgar,POINT (-92.917588 43.378704),110 N Hwy 218,St Ansgar
